ST,Locid,City,Airport Name,S/L,2008 ENP
NV,ELY,Ely,Ely /Yelland Field/,GA,239
KS,OJC,Olathe,Johnson County Executive,GA,234
FL,ISM,Kissimmee,Kissimmee Gateway,GA,231
AL,JKA,Gulf Shores,Jack Edwards,GA,227
LA,HDC,Hammond,Hammond Northshore Regional,GA,225
OH,MNN,Marion,Marion Municipal,GA,225
AK,RMP,Rampart,Rampart,GA,224
WI,C29,Middleton,Middleton Municipal - Morey Field,GA,224
WI,ISW,Wisconsin Rapids,Alexander Field South Wood County,GA,219
OK,PWA,Oklahoma City,Wiley Post,GA,216
VT,FSO,Swanton,Franklin County State,GA,216
NH,LCI,Laconia,Laconia Municipal,GA,212
MT,GDV,Glendive,Dawson Community,GA,211
AK,TCT,Takotna,Takotna,GA,206
OH,MFD,Mansfield,Mansfield Lahm Regional,GA,206
AK,96Z,North Whale Pass,North Whale,GA,204
AK,GKN,Gulkana,Gulkana,GA,204
CA,EKA,Eureka,Murray Field,GA,203
OH,5G7,Bluffton,Bluffton,GA,202
NH,NH33,Pembroke,Brigham,GA,200
AK,SRV,Stony River,Stony River 2,GA,198
AK,UMT,Umiat,Umiat,GA,197
AK,ELV,Elfin Cove,Elfin Cove,GA,196
OK,BFK,Buffalo,Buffalo Municipal,GA,193
TX,SGR,Houston,Sugar Land Regional,GA,191
IL,UGN,Waukegan,Waukegan Regional,GA,190
IN,MIE,Muncie,Delaware County - Johnson Field,GA,190
OH,PCW,Port Clinton,Carl R Keller Field,GA,190
IN,GUS,Peru,Grissom ARB,GA,188
GA,MGE,Marietta,Dobbins Air Reserve Base,GA,186
AK,78K,Yes Bay,Yes Bay Lodge,GA,185
AK,UGB,Pilot Point,Ugashik Bay,GA,180
MT,HVR,Havre,Havre City-County,GA,180
ME,CAR,Caribou,Caribou Municipal,GA,179
SC,CUB,Columbia,Jim Hamilton L.B. Owens,GA,179
VA,FCI,Chesterfield,Chesterfield County,GA,178
AK,UBW,Kuparuk,Ugnu-Kuparuk,GA,177
NM,0.00E+00,Crownpoint,Crownpoint,GA,177
OH,FDY,Findlay,Findlay,GA,176
AK,ALZ,Lazy Bay,Alitak,GA,175
TX,07TE,Corpus Christi,Cuddihy Field,GA,175
AK,84K,Meyers Chuck,Meyers Chuck,GA,174
AZ,E91,Chinle,Chinle Municipal,GA,174
ME,LEW,Auburn,Auburn/Lewiston Municipal,GA,174
AK,TNC,Tin City,Tin City LRRS,GA,172
SC,SPA,Spartanburg,Spartanburg Downtown Memorial,GA,172
MI,BTL,Battle Creek,W K Kellogg,GA,168
FL,MTH,Marathon,The Florida Keys Marathon,GA,167
FL,LAL,Lakeland,Lakeland Linder Regional,GA,166
AK,IKO,Nikolski,Nikolski AS,GA,165
NM,HMN,Alamogordo,Holloman AFB,GA,165
ID,COE,Hayden Lake,Coeur D'Alene - Pappy Boyington Field,GA,162
AK,5NK,Naknek,Naknek,GA,161
IN,JVY,Jeffersonville,Clark Regional,GA,161
GA,LZU,Lawrenceville,Gwinnett County - Briscoe Field,GA,156
MD,MTN,Middle River,Martin State,GA,156
OH,CGF,Cleveland,Cuyahoga County,GA,156
AK,51Z,Minto,Minto Al Wright,GA,154
KS,LWC,Lawrence,Lawrence Municipal,GA,151
TX,FST,Fort Stockton,Fort Stockton-Pecos County,GA,151
AK,INR,McKinley Park,McKinley National Park,GA,150
LA,ARA,New Iberia,Acadiana Regional,GA,150
TX,NGP,Corpus Christi,Corpus Christi NAS/Truax Field,GA,150
AK,MHM,Lake Minchumina,Minchumina,GA,149
FL,FMY,Fort Myers,Page Field,GA,149
ND,GWR,Gwinner,Gwinner-Roger Melroe Field,GA,149
AZ,GEU,Glendale,Glendale Municipal,GA,148
SD,BKX,Brookings,Brookings Regional,GA,147
WI,SBM,Sheboygan,Sheboygan County Memorial,GA,145
MT,S59,Libby,Libby,GA,144
TX,E38,Alpine,Alpine-Casparis Municipal,GA,143
ID,U79,Chamberlain Guard Station,Chamberlain USFS,GA,142
KS,IXD,Olathe,New Century Aircenter,GA,142
MN,VVV,Ortonville,Ortonville Municipal-Martinson Field,GA,142
AK,SXQ,Soldotna,Soldotna,GA,141
CA,SDM,San Diego,Brown Field Municipal,GA,141
NY,0B8,Fishers Island,Elizabeth Field,GA,140
AK,AHP,Port Alexander,Port Alexander,GA,139
IL,MDH,Carbondale,Southern Illinois,GA,139
MI,CAD,Cadillac,Wexford County,GA,139
NV,N58,Fernley,Tiger Field,GA,139
MO,GPH,Mosby,Midwest National Air Center,GA,137
VA,JYO,Leesburg,Leesburg Executive,GA,137
CA,CCR,Concord,Buchanan Field,GA,135
TN,MKL,Jackson,McKellar-Sipes Regional,GA,134
GA,RYY,Marietta,Cobb County-McCollum Field,GA,132
KY,BRY,Bardstown,Samuels Field,GA,132
CA,SEE,El Cajon,Gillespie Field,GA,131
FL,FPR,Fort Pierce,St Lucie County International,GA,131
KY,LOU,Louisville,Bowman Field,GA,130
NY,JRA,New York,West 30th St.,GA,130
CA,MHV,Mojave,Mojave,GA,128
AK,KCC,Coffman Cove,Coffman Cove,GA,126
CT,GON,Groton New London,Groton-New London,GA,125
KS,CBK,Colby,Shalz Field,GA,125
MS,MS90,Flowood,Flowood Industrial,GA,125
MT,6S5,Hamilton,Ravalli County,GA,125
AK,LUR,Cape Lisburne,Cape Lisburne LRRS,GA,124
TX,DWH,Houston,David Wayne Hooks Memorial,GA,124
AK,4Z7,Hyder,Hyder,GA,123
AK,AK40,McGrath,Nixon Fork Mine,GA,120
AR,ROG,Rogers,Rogers Municipal-Carter Field,GA,119
TX,ASL,Marshall,Harrison County,GA,119
IA,CBF,Council Bluffs,Council Bluffs Municipal,GA,118
KS,TOP,Topeka,Philip Billard Municipal,GA,118
KY,IOB,Mount Sterling,Mount Sterling-Montgomery County,GA,118
MA,PYM,Plymouth,Plymouth Municipal,GA,118
NE,MLE,Omaha,Millard,GA,118
GA,PIM,Pine Mountain,Harris County,GA,116
KS,IAB,Wichita,McConnell AFB,GA,116
MI,ACB,Bellaire,Antrim County,GA,116
SC,GGE,Georgetown,Georgetown County,GA,114
FL,NRB,Mayport,Mayport NS (Adm David L. McDonald Field),GA,113
MO,AIZ,Kaiser,Lee C Fine Memorial,GA,113
PA,MQS,Coatesville,Chester County G O Carlson,GA,113
SC,CRE,North Myrtle Beach,Grand Strand,GA,113
NC,HKY,Hickory,Hickory Regional,GA,112
AK,UTO,Utopia Creek,Indian Mountain LRRS,GA,111
UM,MDY,Sand Island,Henderson Field,GA,111
AZ,FHU,Fort Huachuca,Sierra Vista Municipal-Libby AAF,GA,110
TN,SRB,Sparta,Upper Cumberland Regional,GA,108
IL,GBG,Galesburg,Galesburg Municipal,GA,107
TN,GCY,Greeneville,Greeneville-Greene County Municipal,GA,107
AK,DM2,Diomede,Diomede,GA,106
WI,AUW,Wausau,Wausau Downtown,GA,106
SC,GYH,Greenville,Donaldson Center,GA,105
ID,I08,Big Creek Ranger Station,Cabin Creek USFS,GA,104
ME,57B,Islesboro,Islesboro,GA,104
AK,EHM,Cape Newenham,Cape Newenham LRRS,GA,103
KY,OWB,Owensboro,Owensboro-Daviess County,GA,103
CA,LVK,Livermore,Livermore Municipal,GA,102
MA,BVY,Beverly,Beverly Municipal,GA,102
OH,3W2,Put-in-Bay,Put-in-Bay,GA,102
TX,ARM,Wharton,Wharton Regional,GA,102
VA,DAN,Danville,Danville Regional,GA,102
MD,4MD,Baltimore,Pier 7,GA,101
MN,FBL,Faribault,Faribault Municipal,GA,101
AK,TLJ,Takotna,Tatalina LRRS,GA,100
FL,DED,DeLand,DeLand Municipal-Sidney H Taylor Field,GA,100
MO,MYJ,Mexico,Mexico Memorial,GA,100
OR,48OR,Roseburg,Lookingglass,GA,100
TX,PSX,Palacios,Palacios Municipal,GA,100
NC,EQY,Monroe,Charlotte-Monroe Executive,GA,99
OK,GUY,Guymon,Guymon Municipal,GA,98
WI,UES,Waukesha,Waukesha County,GA,98
CA,GOO,Grass Valley,Nevada County Air Park,GA,97
MD,ESN,Easton,Easton/Newnam Field,GA,97
MS,UOX,Oxford,University-Oxford,GA,97
MT,42S,Poplar,Poplar,GA,97
WA,TIW,Tacoma,Tacoma Narrows,GA,97
AK,KPC,Port Clarence,Port Clarence CGS,GA,95
ID,2U7,Stanley,Stanley,GA,95
KS,IDP,Independence,Independence Municipal,GA,95
NV,MEV,Minden,Minden-Tahoe,GA,95
NY,MTP,Montauk,Montauk,GA,95
IA,SPW,Spencer,Spencer Municipal,GA,93
MS,RNV,Cleveland,Cleveland Municipal,GA,93
NC,IGX,Chapel Hill,Horace Williams,GA,93
TX,GKY,Arlington,Arlington Municipal,GA,93
AK,DCK,Dahl Creek,Dahl Creek,GA,92
VA,BCB,Blacksburg,Virginia Tech/Montgomery Executive,GA,89
KS,WLD,Winfield,Strother Field,GA,88
CA,SQL,San Carlos,San Carlos,GA,87
FL,FHB,Fernandina Beach,Fernandina Beach Municipal,GA,87
KS,HUT,Hutchinson,Hutchinson Municipal,GA,87
AK,5C5,Craig,El Capitan Lodge,GA,86
NJ,LDJ,Linden,Linden,GA,86
FL,TPF,Tampa,Peter O Knight,GA,85
SD,SPF,Spearfish,Black Hills-Clyde Ice Field,GA,85
TX,XA89,Carrizo Springs,Faith Ranch,GA,85
IL,ARR,Aurora,Aurora Municipal,GA,84
NC,SOP,Pinehurst/Southern Pines,Moore County,GA,84
TX,SNK,Snyder,Winston Field,GA,84
AK,A14,Portage Creek,Portage Creek,GA,83
SD,MHE,Mitchell,Mitchell Municipal,GA,83
IN,EKM,Elkhart,Elkhart Municipal,GA,82
ID,U60,Big Creek,Big Creek,GA,81
NM,DMN,Deming,Deming Municipal,GA,81
UT,DPG,Dugway Proving Ground,Michael AAF (Dugway Proving Ground),GA,81
AK,TSG,Tanacross,Tanacross,GA,80
IA,EOK,Keokuk,Keokuk Municipal,GA,80
OH,TDZ,Walbridge,Metcalf Field,GA,80
RI,OQU,North Kingstown,Quonset State,GA,80
AL,MXF,Montgomery,Maxwell AFB,GA,78
CA,MYF,San Diego,Montgomery Field,GA,78
OK,LTS,Altus,Altus AFB,GA,78
PA,AFJ,Washington,Washington County,GA,78
AK,CZF,Cape Romanzof,Cape Romanzof LRRS,GA,77
NC,SVH,Statesville,Statesville Regional,GA,77
OH,HAO,Hamilton,Butler County Regional,GA,77
MS,BIX,Biloxi,Keesler AFB,GA,75
NM,TCS,Truth or Consequences,Truth Or Consequences Municipal,GA,75
IA,MPZ,Mount Pleasant,Mount Pleasant Municipal,GA,74
OH,MGY,Dayton,Dayton-Wright Brothers,GA,74
NM,E06,Lovington,Lea County-Zip Franklin Memorial,GA,73
NY,GFL,Glens Falls,Floyd Bennett Memorial,GA,73
OR,HIO,Portland,Portland-Hillsboro,GA,73
CT,HFD,Hartford,Hartford-Brainard,GA,72
NJ,59NJ,Colts Neck,Due Process Stables,GA,72
OH,38D,Salem,Salem Airpark Inc,GA,72
CA,AVX,Avalon,Catalina,GA,70
OK,OUN,Norman,University of Oklahoma Westheimer,GA,70
AK,EXI,Excursion Inlet,Excursion Inlet,GA,69
IL,ALN,Alton,St Louis Regional,GA,69
AL,AUO,Auburn,Auburn-Opelika Robert G. Pitts,GA,68
AZ,LUF,Glendale,Luke AFB,GA,68
CA,BAB,Marysville,Beale AFB,GA,68
MN,LVN,Lakeville,Airlake,GA,68
NC,RWI,Rocky Mount,Rocky Mount-Wilson Regional,GA,68
NV,CXP,Carson City,Carson,GA,68
MN,ANE,Blaine,Anoka County-Blaine Airport(Janes Field),GA,67
AK,ZNC,Nyac,Nyac,GA,66
MN,ELO,Ely,Ely Municipal,GA,66
MD,FDK,Frederick,Frederick Municipal,GA,65
OH,SGH,Springfield,Springfield-Beckley Municipal,GA,64
SC,MMT,Eastover,Mc Entire Jngb,GA,64
AZ,FFZ,Mesa,Falcon Field,GA,63
IL,MTO,Mattoon,Coles County Memorial,GA,63
MS,HBG,Hattiesburg,Hattiesburg Bobby L Chain Municipal,GA,63
OH,5A1,Norwalk,Norwalk-Huron County,GA,63
UT,OGD,Ogden,Ogden-Hinckley,GA,63
CO,ITR,Burlington,Kit Carson County,GA,62
GA,DNL,Augusta,Daniel Field,GA,62
AZ,HII,Lake Havasu City,Lake Havasu City,GA,61
CO,PSO,Pagosa Springs,Stevens Field,GA,61
WI,HYR,Hayward,Sawyer County,GA,61
AL,ASN,Talladega,Talladega Municipal,GA,60
CA,FCH,Fresno,Fresno Chandler Executive,GA,60
KY,PBX,Pikeville,Pike County-Hatcher Field,GA,60
MO,LXT,Lee's Summit,Lee's Summit Municipal,GA,60
NV,FLX,Fallon,Fallon Municipal,GA,60
TX,XS75,Round Mountain,West Ranch,GA,60
PA,CXY,New Cumberland,Capital City,GA,59
AK,KXA,Kasaan,Kasaan,GA,58
ID,0U9,Midvale,Lee Williams Memorial,GA,58
MI,MTC,Mount Clemens,Selfridge Angb,GA,58
TX,DHT,Dalhart,Dalhart Municipal,GA,58
AK,19P,Port Protection,Port Protection,GA,57
AL,EKY,Bessemer,Bessemer,GA,57
FL,HST,Homestead,Homestead ARB,GA,57
IL,1C5,Bolingbrook,Bolingbrook's Clow International,GA,57
NC,TDF,Roxboro,Person County,GA,57
MA,PSF,Pittsfield,Pittsfield Municipal,GA,56
MD,OXB,Ocean City,Ocean City Municipal,GA,56
VT,EFK,Newport,Newport State,GA,56
FL,VNC,Venice,Venice Municipal,GA,55
WI,MWC,Milwaukee,Lawrence J Timmerman,GA,55
AK,AK51,Port Alsworth,Wilder/Natwick LLC,GA,54
AR,RUE,Russellville,Russellville Regional,GA,54
CA,DAG,Daggett,Barstow-Daggett,GA,54
MI,SLH,Cheboygan,Cheboygan County,GA,54
OH,LPR,Lorain,Lorain County Regional,GA,54
RI,UUU,Newport,Newport State,GA,53
VT,MVL,Morrisville,Morrisville-Stowe State,GA,53
AK,GSZ,Granite Mountain,Granite Mountain AS,GA,52
IA,AMW,Ames,Ames Municipal,GA,52
MI,MNM,Menominee,Menominee-Marinette Twin County,GA,52
SC,UZA,Rock Hill,Rock Hill/York County/Bryant Field,GA,52
VA,RMN,Stafford,Stafford Regional,GA,52
WA,HQM,Hoquiam,Bowerman,GA,52
WA,OLM,Olympia,Olympia Regional,GA,52
AK,KWP,West Point,West Point Village,GA,51
LA,DTN,Shreveport,Shreveport Downtown,GA,51
LA,IER,Natchitoches,Natchitoches Regional,GA,51
NE,VTN,Valentine,Miller Field,GA,51
UT,PUC,Price,Carbon County Regional/Buck Davis Field,GA,51
GA,MGR,Moultrie,Moultrie Municipal,GA,50
ID,DIJ,Driggs,Driggs-Reed Memorial,GA,50
WI,STE,Stevens Point,Stevens Point Municipal,GA,50
AZ,AZ42,Phoenix,Asi,GA,49
MI,ANJ,Sault Ste. Marie,Sault Ste Marie Municipal/Sanderson Field,GA,49
NY,ELZ,Wellsville,"Wellsville Municipal Airport,Tarantine Field",GA,49
OR,S03,Ashland,Ashland Municipal-Sumner Parker Field,GA,49
WI,OSH,Oshkosh,Wittman Regional,GA,49
AK,15Z,McCarthy,McCarthy,GA,48
AK,WCR,Chandalar Lake,Chandalar Lake,GA,48
CA,TVL,South Lake Tahoe,Lake Tahoe,GA,48
FL,MKY,Marco Island,Marco Island,GA,48
LA,TVR,Tallulah,Vicksburg Tallulah Regional,GA,48
NH,ASH,Nashua,Boire Field,GA,48
TN,PHT,Paris,Henry County,GA,48
WA,RNT,Renton,Renton Municipal,GA,48
AK,CEM,Central,Central,GA,47
CA,AAT,Alturas,Alturas Municipal,GA,47
IL,VYS,Peru,Illinois Valley Regional-Walter A Duncan Field,GA,47
MT,6S8,Laurel,Laurel Municipal,GA,47
OR,LKV,Lakeview,Lake County,GA,47
OR,RBG,Roseburg,Roseburg Regional,GA,47
SC,CEU,Seneca,Oconee County Regional,GA,47
AK,AK71,Lonely,Lonely AS,GA,46
AR,BPK,Mountain Home,Ozark Regional,GA,46
MN,CQM,Cook,Cook Municipal,GA,46
CO,GXY,Greeley,Greeley-Weld County,GA,45
IN,CEV,Connersville,Mettel Field,GA,45
NH,EEN,Keene,Dillant-Hopkins,GA,45
WA,W28,Sequim,Sequim Valley,GA,45
AK,PAQ,Palmer,Palmer Municipal,GA,44
AL,1R8,Bay Minette,Bay Minette Municipal,GA,44
AR,AWM,West Memphis,West Memphis Municipal,GA,44
MD,APG,Aberdeen Proving Ground (U.S. Army),Phillips AAF,GA,44
ME,ME24,Appleton,Ben Hur,GA,44
NY,POU,Poughkeepsie,Dutchess County,GA,44
VA,OFP,Ashland,Hanover County Municipal,GA,44
AK,MDO,Middleton Island,Middleton Island,GA,43
AK,MLY,Manley Hot Springs,Manley Hot Springs,GA,43
GA,GVL,Gainesville,Lee Gilmer Memorial,GA,43
KY,HVC,Hopkinsville,Hopkinsville-Christian County,GA,43
LA,L31,Covington,St. Tammany Regional,GA,43
WI,RZN,Siren,Burnett County,GA,43
CA,HJO,Hanford,Hanford Municipal,GA,42
FL,TIX,Titusville,Space Coast Regional,GA,42
KY,DWU,Worthington,Ashland Regional,GA,42
SC,LQK,Pickens,Pickens County,GA,42
VA,VJI,Abingdon,Virginia Highlands,GA,42
CA,VBG,Lompoc,Vandenberg AFB,GA,41
GA,18A,Canon,Franklin County,GA,41
IA,FSW,Fort Madison,Fort Madison Municipal,GA,41
KS,SYF,St. Francis,Cheyenne County Municipal,GA,41
SC,AIK,Aiken,Aiken Municipal,GA,41
SD,0D8,Gettysburg,Gettysburg Municipal,GA,41
IA,PEA,Pella,Pella Municipal,GA,40
IN,UMP,Fishers,Indianapolis Metropolitan,GA,40
KS,HQG,Hugoton,Hugoton Municipal,GA,40
MO,UNO,West Plains,West Plains Municipal,GA,40
MO,UUV,Sullivan,Sullivan Regional,GA,40
NJ,CDW,Caldwell,Essex County,GA,40
OH,FZI,Fostoria,Fostoria Metropolitan,GA,40
UT,U42,Salt Lake City,South Valley Regional,GA,40
WI,JVL,Janesville,Southern Wisconsin Regional,GA,40
AK,ORT,Fairbanks North Star (Borough),Northway,GA,39
CO,00C,Durango,Animas Air Park,GA,39
GA,TVI,Thomasville,Thomasville Regional,GA,39
MI,OEB,Coldwater,Branch County Memorial,GA,39
TX,TPL,Temple,Draughon-Miller Central Texas Regional,GA,39
UT,36U,Heber City,Heber City Municipal - Russ McDonald Field,GA,39
WI,RAC,Racine,John H Batten,GA,39
CA,TOA,Torrance,Zamperini Field,GA,38
IA,0F3,Spirit Lake,Spirit Lake Municipal,GA,38
MT,DLN,Dillon,Dillon,GA,38
OH,4I9,Mount Gilead,Morrow County,GA,38
OH,SKY,Sandusky,Griffing Sandusky,GA,38
TN,DKX,Knoxville,Knoxville Downtown Island,GA,38
AK,19AK,Icy Bay,Icy Bay,GA,37
AL,4R4,Fairhope,H. L. (Sonny) Callahan,GA,37
OR,DLS,The Dalles,Columbia Gorge Regional/The Dalles Municipal,GA,37
TX,DTO,Denton,Denton Municipal,GA,37
WA,SFF,Spokane,Felts Field,GA,37
WI,DLL,Baraboo,Baraboo Wisconsin Dells,GA,37
AK,CYT,Yakataga,Yakataga,GA,36
FL,COF,Cocoa Beach,Patrick AFB,GA,36
IA,DNS,Denison,Denison Municipal,GA,36
IA,DVN,Davenport,Davenport Municipal,GA,36
IL,C56,Monee,Bult Field,GA,36
IL,OLY,Olney,Olney-Noble,GA,36
MI,3TR,Niles,Jerry Tyler Memorial,GA,36
NE,HDE,Holdrege,Brewster Field,GA,36
OH,CQA,Celina,Lakefield,GA,36
OH,VTA,Newark,Newark-Heath,GA,36
TN,M33,Gallatin,Sumner County Regional,GA,36
WI,EZS,Shawano,Shawano Municipal,GA,36
AR,PBF,Pine Bluff,Grider Field,GA,35
CA,PRB,Paso Robles,Paso Robles Municipal,GA,35
MI,JXN,Jackson,Jackson County-Reynolds Field,GA,35
AK,ENN,Nenana,Nenana Municipal,GA,34
AK,HRR,Healy,Healy River,GA,34
AZ,GYR,Goodyear,Phoenix Goodyear,GA,34
AZ,OLS,Nogales,Nogales International,GA,34
MA,LWM,Lawrence,Lawrence Municipal,GA,34
MI,VLL,Troy,Oakland/Troy,GA,34
NE,OGA,Ogallala,Searle Field,GA,34
OH,1G0,Bowling Green,Wood County,GA,34
TX,GPM,Grand Prairie,Grand Prairie Municipal,GA,34
CA,SNS,Salinas,Salinas Municipal,GA,33
IN,PPO,La Porte,La Porte Municipal,GA,33
KS,ADT,Atwood,Atwood-Rawlins County City-County,GA,33
KS,TQK,Scott City,Scott City Municipal,GA,33
NH,AFN,Jaffrey,Jaffrey Airport-Silver Ranch,GA,33
NY,87N,Southampton,Southampton,GA,33
OR,MMV,McMinnville,McMinnville Municipal,GA,33
TX,MDD,Midland,Midland Airpark,GA,33
UT,01UT,La Sal,La Sal Junction,GA,33
AK,A29,Sitka,Sitka,GA,32
FL,BOW,Bartow,Bartow Municipal,GA,32
GA,4A7,Hampton,Clayton County - Tara Field,GA,32
IN,FKR,Frankfort,Frankfort Municipal,GA,32
KY,27K,Georgetown,Georgetown Scott County - Marshall Field,GA,32
MA,OWD,Norwood,Norwood Memorial,GA,32
NM,LVS,Las Vegas,Las Vegas Municipal,GA,32
OH,AXV,Wapakoneta,Neil Armstrong,GA,32
WI,PDC,Prairie du Chien,Prairie Du Chien Municipal,GA,32
AK,CZN,Chisana,Chisana,GA,31
IN,ANQ,Angola,Tri-State Steuben County,GA,31
ME,SFM,Sanford,Sanford Regional,GA,31
MI,PHN,Port Huron,St Clair County International,GA,31
MN,MN30,Maple Grove,Busch's Fish Lake,GA,31
MS,CRX,Corinth,Roscoe Turner,GA,31
NY,MSV,Monticello,Sullivan County International,GA,31
WI,MTW,Manitowoc,Manitowoc County,GA,31
AK,AFE,Kake,Kake,GA,30
AK,AK81,Amook Bay,Amook Bay,GA,30
ID,U81,Cold Meadows Guard Station,Cold Meadows USFS,GA,30
ME,FVE,Frenchville,Northern Aroostook Regional,GA,30
MI,ARB,Ann Arbor,Ann Arbor Municipal,GA,30
MT,M75,Malta,Malta,GA,30
NE,ODX,Ord,Evelyn Sharp Field,GA,30
NJ,MIV,Millville,Millville Municipal,GA,30
TN,GKT,Sevierville,Gatlinburg-Pigeon Forge,GA,30
VA,OKV,Winchester,Winchester Regional,GA,30
VA,PVG,Chesapeake,Hampton Roads Executive,GA,30
AK,AK60,Jensens,Fort Jensen,GA,29
AR,PGR,Paragould,Kirk Field,GA,29
CA,O05,Chester,Rogers Field,GA,29
IA,AWG,Washington,Washington Municipal,GA,29
IA,MXO,Monticello,Monticello Regional,GA,29
IL,3MY,Peoria,Mount Hawley Auxiliary,GA,29
KS,CNU,Chanute,Chanute Martin Johnson,GA,29
KS,ULS,Ulysses,Ulysses,GA,29
MD,GAI,Gaithersburg,Montgomery County Airpark,GA,29
MO,H19,Bowling Green,Bowling Green Municipal,GA,29
NY,44N,Millbrook,Sky Acres,GA,29
TX,GLE,Gainesville,Gainesville Municipal,GA,29
AK,KKB,Kitoi Bay,Kitoi Bay,GA,28
AK,MYK,May Creek,May Creek,GA,28
AL,EET,Alabaster,Shelby County,GA,28
AR,M19,Newport,Newport Municipal,GA,28
GA,DQH,Douglas,Douglas Municipal,GA,28
GA,TOC,Toccoa,Toccoa - R G LeTourneau Field,GA,28
MO,HAE,Hannibal,Hannibal Regional,GA,28
NM,5V5,Shiprock,Shiprock Airstrip,GA,28
OH,AKR,Akron,Akron Fulton International,GA,28
TN,M54,Lebanon,Lebanon Municipal,GA,28
TX,CXO,Conroe,Lone Star Executive,GA,28
VT,MPV,Barre,Edward F Knapp State,GA,28
WA,68S,Davenport,Davenport,GA,28
AZ,SEZ,Sedona,Sedona,GA,27
CA,OVE,Oroville,Oroville Municipal,GA,27
IA,EST,Estherville,Estherville Municipal,GA,27
MN,FRM,Fairmont,Fairmont Municipal,GA,27
NV,NV83,Round Mountain,Hadley,GA,27
AZ,AVQ,Marana,Marana Regional,GA,26
GA,9A1,Covington,Covington Municipal,GA,26
ID,2U8,Stanley,Thomas Creek,GA,26
KY,20KY,Verona,Madi's Meadows,GA,26
ME,PNN,Princeton,Princeton Municipal,GA,26
MS,HEZ,Natchez,Hardy-Anders Field Natchez-Adams County,GA,26
PA,P72,Philadelphia,Penn's Landing,GA,26
WI,SUE,Sturgeon Bay,Door County Cherryland,GA,26
AK,KPB,Point Baker,Point Baker,GA,25
AR,HEE,West Helena,Thompson-Robbins,GA,25
AR,MEZ,Mena,Mena Intermountain Municipal,GA,25
CA,POC,La Verne,Brackett Field,GA,25
CO,LAA,Lamar,Lamar Municipal,GA,25
FL,07FA,Key Largo,Ocean Reef Club,GA,25
GA,DZJ,Blairsville,Blairsville,GA,25
KS,MEJ,Meade,Meade Municipal,GA,25
MT,97M,Ekalaka,Ekalaka,GA,25
OH,DLZ,Delaware,Delaware Municipal,GA,25
OR,CVO,Corvallis,Corvallis Municipal,GA,25
PA,THV,York,York,GA,25
WA,OMK,Omak,Omak,GA,25
AR,SRC,Searcy,Searcy Municipal,GA,24
CA,SBD,San Bernardino,San Bernardino International,GA,24
FL,SPG,Saint Petersburg,Albert Whitted,GA,24
GA,BGE,Bainbridge,Decatur County Industrial Air Park,GA,24
IA,MUT,Muscatine,Muscatine Municipal,GA,24
ME,EPM,Eastport,Eastport Municipal,GA,24
MI,BIV,Holland,Tulip City,GA,24
