ST,Locid,City,Airport Name,S/L,2008 ENP
NV,HTH,Hawthorne,Hawthorne Industrial,GA,6
NY,1B1,Hudson,Columbia County,GA,6
OH,02G,East Liverpool,Columbiana County,GA,6
OH,I12,Sidney,Sidney Municipal,GA,6
OH,I95,Kenton,Hardin County,GA,6
OH,OXD,Oxford,Miami University,GA,6
OH,PHD,New Philadelphia,Harry Clever Field,GA,6
OK,HSD,Oklahoma City,Sundance Airpark,GA,6
OK,RVS,Tulsa,Richard Lloyd Jones Jr,GA,6
PA,BTP,Butler,Butler County/K W Scholter Field,GA,6
PA,BVI,Beaver Falls,Beaver County,GA,6
SD,1D1,Milbank,Milbank Municipal,GA,6
SD,VMR,Vermillion,Harold Davidson Field,GA,6
TX,5TE0,Eagle Pass,Comanche Ranch,GA,6
TX,AXH,Houston,Houston-Southwest,GA,6
TX,ECU,Rocksprings,Edwards County,GA,6
TX,JWY,Midlothian/Waxahachie,Mid-Way Regional,GA,6
TX,MRF,Marfa,Marfa Municipal,GA,6
UT,UT29,Tremonton,Jack's,GA,6
VA,AVC,South Hill,Mecklenburg-Brunswick Regional,GA,6
VA,FVX,Farmville,Farmville Regional,GA,6
VA,GVE,Gordonsville,Gordonsville Municipal,GA,6
VA,XSA,Tappahannock,Tappahannock-Essex County,GA,6
WA,DEW,Deer Park,Deer Park,GA,6
WA,VUO,Vancouver,Pearson Field,GA,6
WI,3CU,Cable,Cable Union,GA,6
WI,OEO,Osceola,L O Simenstad Municipal,GA,6
WI,SUW,Superior,Richard I Bong,GA,6
WY,RWL,Rawlins,Rawlins Municipal/Harvey Field,GA,6
WY,TOR,Torrington,Torrington Municipal,GA,6
AK,AK07,Anchorage,Dog Fish Bay,GA,5
AK,KKL,Karluk Lake,Karluk Lake,GA,5
AK,WSJ,San Juan,San Juan /Uganik/,GA,5
AL,1A9,Prattville,Prattville - Grouby Field,GA,5
AL,EUF,Eufaula,Weedon Field,GA,5
AR,ASG,Springdale,Springdale Municipal,GA,5
AR,CWS,Conway,Dennis F Cantrell Field,GA,5
CA,O52,Yuba City,Sutter County,GA,5
CA,RNM,Ramona,Ramona,GA,5
CO,CAG,Craig,Craig-Moffat,GA,5
CT,MMK,Meriden,Meriden Markham Municipal,GA,5
GA,DBN,Dublin,W H 'Bud' Barron,GA,5
GA,MUL,Moultrie,Spence,GA,5
GA,WDR,Winder,Barrow County,GA,5
IA,OOA,Oskaloosa,Oskaloosa Municipal,GA,5
IL,LWV,Lawrenceville,Lawrenceville-Vincennes International,GA,5
KY,M25,Mayfield,Mayfield Graves County,GA,5
MD,2W5,Indian Head,Maryland,GA,5
MI,TTF,Monroe,Custer,GA,5
MN,MIC,Minneapolis,Crystal,GA,5
MS,GWO,Greenwood,Greenwood-Leflore,GA,5
NC,AKH,Gastonia,Gastonia Municipal,GA,5
NC,IPJ,Lincolnton,Lincolnton-Lincoln County Regional,GA,5
NC,LBT,Lumberton,Lumberton Municipal,GA,5
NC,NC10,Macon,Nocarva,GA,5
NC,RCZ,Rockingham,Richmond County,GA,5
NC,ZEF,Elkin,Elkin Municipal,GA,5
ND,S25,Watford City,Watford City Municipal,GA,5
NH,1P1,Plymouth,Plymouth Municipal,GA,5
NJ,NJ08,Cape May Court House,Stone Harbor Golf Club,GA,5
NM,CAO,Clayton,Clayton Municipal Airpark,GA,5
NV,WMC,Winnemucca,Winnemucca Municipal,GA,5
NY,13NY,Stony Brook,Health Sciences Center Unv Hospital,GA,5
NY,NY0,Johnstown,Fulton County,GA,5
OK,5O1,Vici,Vici Municipal,GA,5
OK,WWR,Woodward,West Woodward,GA,5
PA,2G9,Somerset,Somerset County,GA,5
PA,LHV,Lock Haven,William T. Piper Memorial,GA,5
PA,N35,Punxsutawney,Punxsutawney Municipal,GA,5
PA,N47,Pottstown,Pottstown Municipal,GA,5
PA,PTW,Pottstown,Pottstown Limerick,GA,5
PA,RVL,Reedsville,Mifflin County,GA,5
PA,ZER,Pottsville,Schuylkill County /Joe Zerbey/,GA,5
SC,CKI,Kingstree,Williamsburg Regional,GA,5
TN,BGF,Winchester,Winchester Municipal,GA,5
TX,CNW,Waco,TSTC Waco,GA,5
TX,CPT,Cleburne,Cleburne Municipal,GA,5
TX,VHN,Van Horn,Culberson County,GA,5
UT,BMC,Brigham City,Brigham City,GA,5
VA,CPK,Chesapeake,Chesapeake Regional,GA,5
WA,0S7,Oroville,Dorothy Scott,GA,5
WA,CLS,Chehalis,Chehalis-Centralia,GA,5
WA,W56,Vancouver,Fly for Fun,GA,5
WI,ENW,Kenosha,Kenosha Regional,GA,5
AK,9AK2,Russian Mission,Kako,GA,4
AK,AK26,Solomon,Solomon State Field,GA,4
AK,AKW,Klawock,Klawock,GA,4
AK,KPR,Port Williams,Port Williams,GA,4
AK,KPY,Port Bailey,Port Bailey,GA,4
AK,MOS,Elim,Moses Point,GA,4
AL,MVC,Monroeville,Monroe County,GA,4
AL,TOI,Troy,Troy Municipal,GA,4
AR,2A2,Clinton,Holley Mountain Airpark,GA,4
AR,BVX,Batesville,Batesville Regional,GA,4
AR,ORK,North Little Rock,North Little Rock Municipal,GA,4
AZ,SAD,Safford,Safford Regional,GA,4
CA,C80,Coalinga,New Coalinga Municipal,GA,4
CA,PTV,Porterville,Porterville Municipal,GA,4
CT,4B9,Simsbury,Simsbury,GA,4
GA,09J,Jekyll Island,Jekyll Island,GA,4
GA,52A,Madison,Madison Municipal,GA,4
GA,CXU,Camilla,Camilla-Mitchell County,GA,4
GA,TBR,Statesboro,Statesboro-Bulloch County,GA,4
IA,CKP,Cherokee,Cherokee County Regional,GA,4
IA,IFA,Iowa Falls,Iowa Falls Municipal,GA,4
IL,SQI,Sterling,Whiteside County-Jos H Bittorf Field,GA,4
IN,ASW,Warsaw,Warsaw Municipal,GA,4
IN,I76,Peru,Peru Municipal,GA,4
KS,K88,Iola,Allen County,GA,4
KS,MYZ,Marysville,Marysville Municipal,GA,4
KS,PTS,Pittsburg,Atkinson Municipal,GA,4
KY,FGX,Flemingsburg,Fleming-Mason,GA,4
LA,3R7,Jennings,Jennings,GA,4
LA,RSN,Ruston,Ruston Regional,GA,4
ME,ME16,Limestone,Loring International,GA,4
MI,8D4,Sparta,Paul C. Miller-Sparta,GA,4
MN,AUM,Austin,Austin Municipal,GA,4
MN,MKT,Mankato,Mankato Regional,GA,4
MN,RGK,Red Wing,Red Wing Regional,GA,4
MO,EIW,New Madrid,County Memorial,GA,4
MO,PLK,Point Lookout,M. Graham Clark - Taney County,GA,4
MO,RCM,Warrensburg,Skyhaven,GA,4
MS,04MS,Rolling Fork,Nick's Flying Service Inc,GA,4
MS,VKS,Vicksburg,Vicksburg Municipal,GA,4
MT,88M,Eureka,Eureka,GA,4
NC,60J,Ocean Isle Beach,Odell Williamson Municipal,GA,4
ND,D50,Crosby,Crosby Municipal,GA,4
NE,ONL,O'Neill,The O'Neill Municipal-John L Baker Field,GA,4
NH,HIE,Whitefield,Mount Washington Regional,GA,4
NJ,4NJ5,Sayreville,Raritan Center,GA,4
NJ,WWD,Wildwood,Cape May County,GA,4
NM,F37,Carrizozo,Carrizozo Municipal,GA,4
NY,6B9,Skaneateles,Skaneateles Aero Drome,GA,4
NY,7G0,Brockport,Ledgedale Airpark,GA,4
OH,1G8,Toronto,Eddie Dew Memorial Airpark,GA,4
OH,AOH,Lima,Lima Allen County,GA,4
OH,USE,Wauseon,Fulton County,GA,4
OK,ADH,Ada,Ada Municipal,GA,4
OK,MIO,Miami,Miami Municipal,GA,4
OR,62S,Christmas Valley,Christmas Valley,GA,4
OR,HRI,Hermiston,Hermiston Municipal,GA,4
PA,98PN,Allentown,Trauma Center,GA,4
PA,UCP,New Castle,New Castle Municipal,GA,4
SC,MKS,Moncks Corner,Berkeley County,GA,4
SD,AGZ,Wagner,Wagner Municipal,GA,4
SD,MDS,Madison,Madison Municipal,GA,4
TN,UOS,Sewanee,Franklin County,GA,4
TX,PVW,Plainview,Hale County,GA,4
UT,U69,Duchesne,Duchesne Municipal,GA,4
VA,8VA5,Charlottesville,University of Virginia Hospital,GA,4
VA,SFQ,Suffolk,Suffolk Executive,GA,4
WA,14S,Westport,Westport,GA,4
WA,2S8,Wilbur,Wilbur,GA,4
WA,43D,Odessa,Odessa Municipal,GA,4
WA,PLU,Puyallup,Pierce County - Thun Field,GA,4
WA,RLD,Richland,Richland,GA,4
WA,S97,Brewster,Anderson Field,GA,4
WI,C35,Reedsburg,Reedsburg Municipal,GA,4
WI,C59,Delavan,Lake Lawn,GA,4
WI,LNL,Land O'Lakes,Kings Land O' Lakes,GA,4
WI,Y55,Crandon,Crandon Municipal,GA,4
WY,W43,Hulett,Hulett Municipal,GA,4
AK,3AK6,Palmer,B & B Boys Ranch,GA,3
AK,5A8,Aleknagik,Aleknagik /New,GA,3
AK,SVW,Sparrevohn,Sparrevohn LRRS,GA,3
AL,MDQ,Huntsville,Madison County Executive/Tom Sharp Jr Field,GA,3
CA,CXL,Calexico,Calexico International,GA,3
CA,O57,Bridgeport,Bryant Field,GA,3
CO,SBS,Steamboat Springs,Steamboat Springs/Bob Adams Field,GA,3
GA,47A,Canton,Cherokee County,GA,3
GA,DNN,Dalton,Dalton Municipal,GA,3
IA,ORC,Orange City,Orange City Municipal,GA,3
ID,1U7,Paris,Bear Lake County,GA,3
ID,BYI,Burley,Burley Municipal,GA,3
IN,2R2,Danville,Hendricks County-Gordon Graham Field,GA,3
KS,3JC,Junction City,Freeman Field,GA,3
KS,BEC,Wichita,Beech Factory,GA,3
KS,PHG,Phillipsburg,Phillipsburg Municipal,GA,3
KY,1A6,Middlesboro,Middlesboro-Bell County,GA,3
KY,4M7,Russellville,Russellville-Logan County,GA,3
KY,TWT,Sturgis,Sturgis Municipal,GA,3
LA,DRI,DeRidder,Beauregard Regional,GA,3
LA,L38,Gonzales,Louisiana Regional,GA,3
MD,2W6,Leonardtown,St. Mary's County Regional,GA,3
MD,ANP,Annapolis,Lee,GA,3
MD,W29,Stevensville,Bay Bridge,GA,3
ME,HUL,Houlton,Houlton International,GA,3
ME,IZG,Fryeburg,Eastern Slopes Regional,GA,3
MI,1D2,Plymouth,Canton-Plymouth-Mettetal,GA,3
MN,OTG,Worthington,Worthington Municipal,GA,3
MS,8M1,Booneville/Baldwyn,Booneville/Baldwyn,GA,3
MT,53U,Bigfork,Ferndale Airfield,GA,3
MT,7S4,Wisdom,Wisdom,GA,3
MT,BHK,Baker,Baker Municipal,GA,3
NC,24A,Sylva,Jackson County,GA,3
NC,8A7,Mocksville,Twin Lakes,GA,3
NC,CPC,Whiteville,Columbus County Municipal,GA,3
NC,ETC,Tarboro,Tarboro-Edgecombe,GA,3
NJ,26NJ,Cape May Court House,Burdette Tomlin Memorial Hospital,GA,3
NJ,SMQ,Bedminster,Somerset,GA,3
NM,ONM,Socorro,Socorro Municipal,GA,3
NY,4G6,Hornell,Hornell Municipal,GA,3
NY,D88,Sherman,Pratt's Eastern Divide,GA,3
NY,GVQ,Batavia,Genesee County,GA,3
NY,PLB,Plattsburgh,Clinton County,GA,3
OH,4I3,Mount Vernon,Knox County,GA,3
OH,DFI,Defiance,Defiance Memorial,GA,3
OH,RZT,Chillicothe,Ross County,GA,3
PA,49PN,Danville,Geisinger,GA,3
SC,OGB,Orangeburg,Orangeburg Municipal,GA,3
SD,9D1,Gregory,"Gregory Municipal, Flynn Field",GA,3
TN,CKV,Clarksville,Outlaw Field,GA,3
TN,HDI,Cleveland,Hardwick Field,GA,3
TX,2TA8,Encino,El Coyote Ranch,GA,3
TX,BPG,Big Spring,Big Spring McMahon-Wrinkle,GA,3
TX,BWD,Brownwood,Brownwood Regional,GA,3
TX,HDO,Hondo,Hondo Municipal,GA,3
TX,OCH,Nacogdoches,A L Mangham Jr. Regional,GA,3
TX,ORG,Orange,Orange County,GA,3
TX,OSA,Mount Pleasant,Mount Pleasant Regional,GA,3
TX,RPH,Graham,Graham Municipal,GA,3
TX,SEP,Stephenville,Clark Field Municipal,GA,3
UT,BTF,Bountiful,Skypark,GA,3
VA,HLX,Hillsville,Twin County,GA,3
VA,TGI,Tangier,Tangier Island,GA,3
WA,W16,Monroe,Firstair Field,GA,3
WA,WA59,Sequim,Rake's Glen,GA,3
WV,48I,Sutton,Braxton County,GA,3
WV,W22,Buckhannon,Upshur County Regional,GA,3
WY,WY11,Encampment,A-A Ranch,GA,3
AK,01A,Purkeypile,Purkeypile,GA,2
AK,2K5,Telida,Telida,GA,2
AK,AK13,Chena Hot Springs,Chena Hot Springs,GA,2
AK,FLT,Flat,Flat,GA,2
AK,KDK,Kodiak,Kodiak Municipal,GA,2
AL,06A,Tuskegee,Moton Field Municipal,GA,2
AL,8A1,Guntersville,Guntersville Municipal - Joe Starnes Field,GA,2
AL,DYA,Demopolis,Demopolis Municipal,GA,2
AR,FLP,Flippin,Marion County Regional,GA,2
CA,11CL,Adelanto,Hansen,GA,2
CA,1O2,Lakeport,Lampson Field,GA,2
CA,BLH,Blythe,Blythe,GA,2
CA,BNG,Banning,Banning Municipal,GA,2
CA,MAE,Madera,Madera Municipal,GA,2
CA,MER,Atwater,Castle,GA,2
CO,FMM,Fort Morgan,Fort Morgan Municipal,GA,2
CT,SNC,Chester,Chester,GA,2
FL,2R4,Milton,Peter Prince Field,GA,2
FL,CDK,Cedar Key,George T Lewis,GA,2
FL,FL14,Chipley,Vosika's,GA,2
FL,IMM,Immokalee,Immokalee Regional,GA,2
FL,X13,Carrabelle,Carrabelle-Thompson,GA,2
FL,X60,Williston,Williston Municipal,GA,2
GA,AZE,Hazlehurst,Hazlehurst,GA,2
GA,GA88,Sylvania,Wade Plantation,GA,2
IA,AIO,Atlantic,Atlantic Municipal,GA,2
IA,C27,Manchester,Manchester Municipal,GA,2
IA,DEH,Decorah,Decorah Municipal,GA,2
IA,SLB,Storm Lake,Storm Lake Municipal,GA,2
ID,73U,Idaho City,Golden Age Mine,GA,2
IL,C16,Urbana,Frasca Field,GA,2
IL,PNT,Pontiac,Pontiac Municipal,GA,2
IN,SMD,Fort Wayne,Smith Field,GA,2
KS,2K3,Johnson,Stanton County Municipal,GA,2
KS,3TA,Stafford,Stafford Municipal,GA,2
KY,K24,Jamestown,Russell County,GA,2
KY,M20,Leitchfield,Grayson County,GA,2
KY,W38,Williamsburg,Williamsburg-Whitley County,GA,2
LA,CWF,Lake Charles,Chennault International,GA,2
MA,ORE,Orange,Orange Municipal,GA,2
MD,2G4,Oakland,Garrett County,GA,2
MD,7MD9,Tilghman,Tilghman Whipp,GA,2
ME,1B0,Dexter,Dexter Regional,GA,2
MH,MAJ,Majuro,Marshall Islands International,GA,2
MI,BEH,Benton Harbor,Southwest Michigan Regional,GA,2
MI,BFA,Boyne Falls,Boyne Mountain,GA,2
MI,ERY,Newberry,Luce County,GA,2
MN,AQP,Appleton,Appleton Municipal,GA,2
MN,EVM,Eveleth,Eveleth-Virginia Municipal,GA,2
MN,MWM,Windom,Windom Municipal,GA,2
MO,CHT,Chillicothe,Chillicothe Municipal,GA,2
MO,DXE,Dexter,Dexter Municipal,GA,2
MO,EOS,Neosho,Neosho Hugh Robinson,GA,2
MO,HIG,Higginsville,Higginsville Industrial Municipal,GA,2
MT,1S3,Forsyth,Tillitt Field,GA,2
NC,EYF,Elizabethtown,Curtis L Brown Jr Field,GA,2
NC,MEB,Maxton,Laurinburg-Maxton,GA,2
NC,N52,Waxhaw,Jaars-Townsend,GA,2
NC,VUJ,Albemarle,Stanly County,GA,2
NC,W95,Ocracoke,Ocracoke Island,GA,2
NE,TIF,Thedford,Thomas County,GA,2
NH,2B3,Newport,Parlin Field,GA,2
NH,4C4,Colebrook,Gifford Field,GA,2
NH,5B9,Haverhill,Dean Memorial,GA,2
NH,CNH,Claremont,Claremont Municipal,GA,2
NH,ERR,Errol,Errol,GA,2
NJ,15NJ,Belford,Werner,GA,2
NJ,19N,Berlin,Camden County,GA,2
NJ,1N7,Blairstown,Blairstown,GA,2
NJ,47N,Manville,Central Jersey Regional,GA,2
NM,0NM0,Columbus,Columbus Municipal,GA,2
NM,GNT,Grants,Grants-Milan Municipal,GA,2
NM,TCC,Tucumcari,Tucumcari Municipal,GA,2
NY,07NY,Monticello,MMC,GA,2
NY,4NY9,Elmont,Belmont Park,GA,2
NY,6NK3,Manhasset,North Shore University Hospital Nr 2,GA,2
NY,DSV,Dansville,Dansville Municipal,GA,2
NY,N03,Cortland,Cortland County-Chase Field,GA,2
NY,N23,Sidney,Sidney Municipal,GA,2
OH,3G4,Ashland,Ashland County,GA,2
OK,CLK,Clinton,Clinton Regional,GA,2
OK,GCM,Claremore,Claremore Regional,GA,2
OR,ONO,Ontario,Ontario Municipal,GA,2
PA,2PS9,Philadelphia,Albert Einstein Medical Center,GA,2
PA,5PN9,Harrisburg,Harrisburg Hospital,GA,2
PA,5PS1,Lancaster,Lancaster General Hospital,GA,2
PA,HZL,Hazleton,Hazleton Municipal,GA,2
PA,N68,Chambersburg,Franklin County Regional,GA,2
SC,35A,Union,"Union County, Troy Shelton Field",GA,2
SC,88J,Allendale,Allendale County,GA,2
SC,HVS,Hartsville,Hartsville Regional,GA,2
SC,HYW,Conway,Conway-Horry County,GA,2
TN,M01,Memphis,General Dewitt Spain,GA,2
TX,11R,Brenham,Brenham Municipal,GA,2
TX,50R,Lockhart,Lockhart Municipal,GA,2
TX,81R,San Saba,San Saba County Municipal,GA,2
TX,BBD,Brady,Curtis Field,GA,2
TX,BGD,Borger,Hutchinson County,GA,2
TX,BMQ,Burnet,Burnet Municipal Kate Craddock Field,GA,2
TX,CRS,Corsicana,C David Campbell Field-Corsicana Municipal,GA,2
TX,EYQ,Houston,Weiser Air Park,GA,2
TX,GYI,Grayson (County),Grayson County,GA,2
TX,HQZ,Mesquite,Mesquite Metro,GA,2
TX,LVJ,Houston,Pearland Regional,GA,2
TX,MKN,Comanche,Comanche County-City,GA,2
TX,PIL,Port Isabel,Port Isabel-Cameron County,GA,2
TX,PWG,Waco,McGregor Executive,GA,2
TX,SWW,Sweetwater,Avenger Field,GA,2
TX,T57,Garland,Garland/DFW Heloplex,GA,2
TX,T78,Liberty,Liberty Municipal,GA,2
TX,XA96,Canadian,En Gedi Ranch,GA,2
UT,U77,Spanish Fork,Spanish Fork-Springville,GA,2
VA,4VA2,Woodbridge,Potomac Hospital Helistop,GA,2
VA,FYJ,Mattaponi,Middle Peninsula Regional,GA,2
VA,OMH,Orange,Orange County,GA,2
VA,W91,Moneta,Smith Mountain Lake,GA,2
WA,KLS,Kelso,Southwest Washington Regional,GA,2
WA,S50,Auburn,Auburn Municipal,GA,2
WA,W10,Langley,Whidbey Air Park,GA,2
WI,3D2,Ephraim,Ephraim-Fish Creek,GA,2
WI,87Y,Madison,Blackhawk Airfield,GA,2
WI,BCK,Black River Falls,Black River Falls Area,GA,2
WI,EFT,Monroe,Monroe Municipal,GA,2
WI,MDZ,Medford,Taylor County,GA,2
WI,RPD,Rice Lake,Rice Lake Regional - Carl's Field,GA,2
WI,UNU,Juneau,Dodge County,GA,2
WI,VIQ,Neillsville,Neillsville Municipal,GA,2
WV,3I2,Point Pleasant,Mason County,GA,2
WY,DGW,Douglas,Converse County,GA,2
WY,GEY,Greybull,South Big Horn County,GA,2
WY,U25,Dubois,Dubois Municipal,GA,2
AK,4AK,Livengood,Livengood Camp,GA,1
AK,8AK6,Susitna Station,Little Susitna,GA,1
AK,TTW,Cantwell,Cantwell,GA,1
AL,07A,Union Springs,Franklin Field,GA,1
AL,12J,Brewton,Brewton Municipal,GA,1
AL,7A5,Roanoke,Roanoke Municipal,GA,1
AR,4M2,Booneville,Booneville Municipal,GA,1
AR,HKA,Blytheville,Blytheville Municipal,GA,1
AR,SLG,Siloam Springs,Smith Field,GA,1
AZ,CGZ,Casa Grande,Casa Grande Municipal,GA,1
AZ,E24,Whiteriver,Whiteriver,GA,1
AZ,L25,Meadview,Pearce Ferry,GA,1
AZ,L37,Peach Springs,Grand Canyon Caverns,GA,1
CA,AJO,Corona,Corona Municipal,GA,1
CA,DLO,Delano,Delano Municipal,GA,1
CA,HMT,Hemet,Hemet-Ryan,GA,1
CA,MYV,Marysville,Yuba County,GA,1
CA,PAO,Palo Alto,Palo Alto Airport of Santa Clara County,GA,1
CA,WLW,Willows,Willows-Glenn County,GA,1
CO,2V5,Wray,Wray Municipal,GA,1
CO,6CO0,Eckert/Orchard City,Doctors Mesa,GA,1
CO,TAD,Trinidad,Perry Stokes,GA,1
DE,33N,Dover/Cheswold,Delaware Airpark,GA,1
DE,EVY,Middletown,Summit,GA,1
FL,GIF,Winter Haven,Winter Haven's Gilbert,GA,1
FL,PCM,Plant City,Plant City,GA,1
FL,X21,Titusville,Arthur Dunn Air Park,GA,1
FL,X40,Inverness,Inverness,GA,1
GA,BHC,Baxley,Baxley Municipal,GA,1
GA,HOE,Homerville,Homerville,GA,1
GA,JZP,Jasper,Pickens County,GA,1
GA,SYV,Sylvester,Sylvester,GA,1
GA,TMA,Tifton,Henry Tift Myers,GA,1
IA,C17,Marion,Marion,GA,1
IA,CAV,Clarion,Clarion Municipal,GA,1
IA,CNC,Chariton,Chariton Municipal,GA,1
IA,EGQ,Emmetsburg,Emmetsburg Municipal,GA,1
IA,OXV,Knoxville,Knoxville Municipal,GA,1
ID,ID65,Coeur d'Alene,Pisch's Place,GA,1
ID,S67,Nampa,Nampa Municipal,GA,1
IL,3IS8,Bradford,Rinkenberger RLA,GA,1
IL,IJX,Jacksonville,Jacksonville Municipal,GA,1
IL,MQB,Macomb,Macomb Municipal,GA,1
IL,PPQ,Pittsfield,Pittsfield Penstone Municipal,GA,1
IN,C65,Plymouth,Plymouth Municipal,GA,1
IN,MGC,Michigan City,Michigan City Municipal,GA,1
KS,3K7,Leoti,Mark Hoard Memorial,GA,1
KS,EQA,El Dorado,Captain Jack Thomas/El Dorado,GA,1
KS,HLC,Hill City,Hill City Municipal,GA,1
KS,K61,Beloit,Moritz Memorial,GA,1
KS,K78,Abilene,Abilene Municipal,GA,1
KS,K81,Paola,Miami County,GA,1
KS,SN79,Kansas City,Municipal Office Building,GA,1
KY,JKL,Jackson,Julian Carroll,GA,1
MA,3B0,Southbridge,Southbridge Municipal,GA,1
MD,12MD,Baltimore,St. Agnes Health Care,GA,1
MD,4MD9,Owings Mills,St John,GA,1
MD,CBE,Cumberland,Greater Cumberland Regional,GA,1
MD,CGS,College Park,College Park,GA,1
ME,MVM,Machias,Machias Valley,GA,1
ME,OLD,Old Town,"Dewitt Field,Old Town Municipal",GA,1
MI,D98,Romeo,Romeo State,GA,1
MN,12D,Tower,Tower Municipal,GA,1
MN,DTL,Detroit Lakes,Detroit Lakes-Wething Field,GA,1
MN,DVP,Slayton,Slayton Municipal,GA,1
MN,LXL,Little Falls,Little Falls/Morrison County-Lindbergh Field,GA,1
MN,OWA,Owatonna,Owatonna Degner Regional,GA,1
MN,RRT,Warroad,Warroad International Memorial,GA,1
MO,9MO6,Stover,Ivy Bend,GA,1
MO,FAM,Farmington,Farmington Regional,GA,1
MO,TRX,Trenton,Trenton Municipal,GA,1
MS,M83,West Point,McCharen Field,GA,1
MT,8S1,Polson,Polson,GA,1
MT,RED,Red Lodge,Red Lodge,GA,1
NC,5W8,Siler City,Siler City Municipal,GA,1
NC,7NC2,Corolla,Pine Island,GA,1
NC,FQD,Rutherfordton,Rutherford County-Marchman Field,GA,1
NC,JNX,Smithfield,Johnston County,GA,1
NH,5M3,Moultonboro,Moultonboro,GA,1
NJ,N87,Robbinsville,Trenton-Robbinsville,GA,1
NJ,VAY,Mount Holly,South Jersey Regional,GA,1
NM,FSU,Fort Sumner,Fort Sumner Municipal,GA,1
NV,67L,Mesquite,Mesquite,GA,1
NV,LOL,Lovelock,Derby Field,GA,1
NY,PTD,Potsdam,Potsdam Municipal/Damon Field/,GA,1
OH,CDI,Cambridge,Cambridge Municipal,GA,1
OK,4O4,Idabel,McCurtain County Regional,GA,1
OK,AXS,Altus,Altus/Quartz Mountain Regional,GA,1
OK,CHK,Chickasha,Chickasha Municipal,GA,1
OK,MLC,McAlester,McAlester Regional,GA,1
OK,RCE,Oklahoma City,Clarence E Page Municipal,GA,1
OR,BOK,Brookings,Brookings,GA,1
OR,GCD,John Day,Grant County Regional/Ogilvie Field,GA,1
OR,M50,Boardman,Boardman,GA,1
OR,S33,Madras,Madras Municipal,GA,1
OR,TMK,Tillamook,Tillamook,GA,1
PA,03PS,Bellefonte,Ziggy's Field,GA,1
SC,LKR,Lancaster,Lancaster County-Mc Whirter Field,GA,1
SC,LUX,Laurens,Laurens County,GA,1
SC,MAO,Marion,Marion County,GA,1
SD,9F8,Hoven,Hoven Municipal,GA,1
TN,3A2,Tazewell,New Tazewell Municipal,GA,1
TN,RVN,Rogersville,Hawkins County,GA,1
TN,SCX,Oneida,Scott Municipal,GA,1
TN,SNH,Savannah,Savannah-Hardin County,GA,1
TX,50F,Fort Worth,Bourland Field,GA,1
TX,89TE,Lajitas,Lajitas International,GA,1
TX,BAZ,New Braunfels,New Braunfels Municipal,GA,1
TX,E42,Spearman,Spearman Municipal,GA,1
TX,ETN,Eastland,Eastland Municipal,GA,1
TX,H70,Stratford,Stratford Field,GA,1
TX,HRX,Hereford,Hereford Municipal,GA,1
TX,ONY,Olney,Olney Municipal,GA,1
TX,PYX,Perryton,Perryton Ochiltree County,GA,1
TX,T88,Colorado City,Colorado City,GA,1
TX,TRL,Terrell,Terrell Municipal,GA,1
UT,U52,Beaver,Beaver Municipal,GA,1
VA,PTB,Sutherland,Dinwiddie County,GA,1
WA,1W1,Camas,Grove Field,GA,1
WA,38W,Lynden,Lynden,GA,1
WA,80T,Quincy,Quincy Municipal,GA,1
WA,AWO,Arlington,Arlington Municipal,GA,1
WA,GRF,Fort Lewis/Tacoma,Gray AAF,GA,1
WV,W99,Petersburg,Grant County,GA,1
WY,AFO,Afton,Afton Municipal,GA,1
PR,X95,Fajardo,Diego Jimenez Torres,GA,0
TX,ILE,Killeen,Skylark Field,GA,0